Kode SDKI,Kode SIKI,Nama SIKI,Definisi,Tindakan Observasi,Tindakan Terapeutik,Edukasi,Kolaborasi
D.0002,I.02083,Resisutasi Cairan,,"1. Mengidentifikasi keamanan penolong, lingkungan dan pasien
2. Mengidentifikasi respon pasien (mis. Memanggil pasien, menepuk bahu pasien)
3. Memonitor nadi karotis dan napas setiap 2 menit atau 5 siklus RJP","1. Memakai alat pelindung diri
2. Mengaktifkan emergency medical system atau berteriak meminta tolong
3. Memposisikan pasien terlentang di tempat datar dan keras
4. Mengatur posisi penolong berlutut di samping korban
5. Meraba nadi karotis dalam waktu <10 detik
6. Memberikan rescue breathing jika di temukan ada nadi tetapi tidak ada nafas
7. Mengkompres dada 30 kali di kombinasikan dengan bantuan napas (ventilasi) 2 kali jika ditemukan tidak ada nadi dan tidak ada napas
8. Mengkompres dengan tumit telapak tangan menepuk diatas telapak tangan yang lain tegak lurus pada pertengahan dada (seperdua bawah sternum)
9. Mengkompres dengan kedalaman kompres 5-6 cm dengan kecepatan 100-120 kali per menit
10. Membersihkan dan membuka jalan nafas dengan head tilt-chin lift atau jaw thurst (jika curiga cedera servikal)
11. Memberikan bantuan nafas dengan menggunakan Bag Valve mask dengan teknik EC-Clamp
12. Mengkombinasikan kompresi dan ventilasi selama 2 menit atau sebanyak 5 siklus
13. Menghentikan RJP jika ditemukan adanya tandatanda kehidupan, penolong yang lebih mahir datang, ditemukan adanya tandatanda kematian biologis, Do Not Resusitation (DNR)",1. Menjelaskan tujuan dan prosedur tindakan kepada keluarga atau pengantar pasien,1. Mengkolaborasikan tim medis untuk bantuan hidup lanjut. Manajemen Jalan Napas
D.0002,I.01011,Resisutasi Cairan,"Mengidentifikasi dan mengelola kepatenan jalan napas Tindakan Observasi 4. Monitor pola napas (frekuensi, kedalaman, usaha napas) 5. Monitor bunyi napas tambahan (mis. gurgling, mengi, wheezing, ronkhi kering) 6. Monitor sputum (jumlah, warna, aroma)",,"6. Pertahankan kepatenan jalan napas dengan head-tilt dan chin-lift (jaw-thrust jika curiga trauma survikal)
7. Posisikan semi-fowler atau fowler
8. Berikan minuman hangat
9. Berikan oksigen, jika perlu","3. Anjurkn asupan cairan 2000 ml/hari, jika tidak kontraindikasi
4. Ajarkan teknik batuk efektif Kolaborasi
1. Kolaborasi pemberian bronkodilator , ekspektoran, mukolitik, jika perlu",
D.0006,I.01011,Resisutasi Cairan,Mengidentifikasi dan mengelola kepatenan jalan napas,"1. Monitor pola napas (frekuensi, kedalaman, usaha napas)
2. Monitor bunyi napas tambahan (mis. Gurgling, mengi, wheezing, ronkhi kering)
3. Monitor sputum (jumlah, warna, aroma)","4. Pertahankan kepatenan jalan napas dengan head ill dan chin lift
5. Posisikan semi fowler atau fowler
6. Berikan minuman hangat
7. Lakukan fisioterapi dada, jika perlu
8. Lakukan penghisapan lender kurang dari 15 detik
9. Lakukan hiperoksigenasi sebelum penghisapan endotrakeal
10. Keluarkan sumbatan benda padat dengan forsep McGill 11. Berikan oksigen, jika perlu","12. Anjurkan asupan carian 2000 ml/hari, jika tidak kontraindikasi
13. Ajarkan Teknik batuk efektif","14. Kolaborasi pmeberian bronkodilator, ekspektoran, mukolitik, jika perlu"
D.0006,I.01018,Pencegaha Aspirasi,Mengidentifikasi dan mengurangi risiko masuknya partikel makanan/cairan ke dalam paru-paru,"15. Monitor tingkat kesadaran, batuk, muntah dan kemampuan menelan
16. Monitor status pernapasan
17. Monitor bunyi napas terutama setelah makan/minum
18. Periksa residu gaster sebelum memberi asupan oral
19. Periksa kepatenan selang nasogastric sebelum memberi asupan oral","20. Posisikan semi fowler (30- 45 derajat) 30 menit sebelum memberi asupan oral
21. Pertahankan posisi semi fowler pada pasien
22. Pertahankan kepatenan jalan napas (mis. Teknik head tilt chin lift, jaw thrust, in line)
23. Perhatikan pengembangan balon endotracheal tube (ETT)
24. Lakukan penghisapan jalan napas, jika produksi secret meningkat
25. Sediakan suction di ruangan
26. Hindari memberi makan melalui selang gastrointestinal, jika residu banyak
27. Berikan makanan dengan ukuran kecil atau lunak
28. Berikan obat oral dalam bentuk cair","29. Anjurkan makan secara perlahan
30. Ajarkan strategi mencegah aspirasi
31. Ajarkan Teknik mengunyah atau menelan, jika perlu",
D.0006,I.02038,Manajemen Defibrilasi,,,,,
D.0006,I.02038,Manajemen Defibrilasi,Mengidentifikasi dan mengelola aliran listrik kuat dengan metode asinkron ke jantung melalui elektroda yang ditempatkan pada permukaan dada,32. Periksa irama pada monitor setelah RJP 2 menit,"33. Lakukan resusitasi jantung paru (RJP) hingga mesin defibrillator siap
34. Siapkan dan hidupan mesi defibrillator
35. Pasang monitor EKG
36. Pastikan irama EKG henti jantung (VF atau VT tanpa nadi)
37. Atur jumlah energi dengan mode asynchronized (360 joule until ,pmpfasik dan 120-200 joule untuk bifasik)
38. Angkat paddle dari mesin dan oleskan jeli pada paddle
39. Tempelkan paddle sternum (kanan) pada sisi kanan sternum di bawah klavikula dan paddle apeks (kiri) pada garis midaksilaris setinggi elektroda V6
40. Hentikan RJP saat defibrillator siap
41. Teriak bahwa defibrilaor telah siap (mis. “I am crear, you re clear, everybody’s clear)
42. Berikan syok dengan menekan tombol pada kedua paddle bersamaan
43. Angkat paddle dan langsung lanjutkan RJP tanpa menunggu hasil irama yang muncul pada monitor setelah pemberian defibrilasi
44. Lanjutkan RJP sampai 2 menit",,
D.0006,I.02083,Resusitasi Jantung Paru,Memberikan pertolongan pertama pada kondisi henti napas dan henti jantung dengan Teknik kombinasi kompresi pada dada dan bantuan napas,"45. Identifikasi keamanan penolong, lingkungan dan pasien
46. Identifikasi respon pasien (mis. Memanggil pasien, menepuk bahu pasien)
47. Monitor nadi karotis dan napas setiap 2 menit atau 5 siklus RJP Terapeutik
48. Pakai alat pelindung diri
49. Aktifkan emergency medical system atau berteriak meminta tolong
50. Posisikan pasien telentang di tempat datar dan keras
51. Atur posisi penolong berlutut di samping korban
52. Raba nati karotis dalam waktu <10 detik
53. Berikan rescue breathing jika ditemukan ada nadi tetapi tidak ada napas
54. Kompresi dada 30 kali dikombinasikan dengan bantuan napas (ventilasi) 2 kali jika ditemukan tidak ada nadi dan tidak ada napas
55. Kopresi dengan tumit telapak tangan menumpuk diatas telapak tangan yang lain tegak lurus pada pertengahan dada (seperdua bawah sternum)
56. Kompresi dengan kedalaman kompresi 5-6 cm dengan kecepatan 100-120 kali/menit
57. Bersihkan dan buka jalan napas dengan head tlit – chin lift atau jaw thrust (jika curiga cedera servikal)
58. Berikan bantuan napas dengan menggunakan bag valve mask dengan Teknik EC-Clamp
59. Kombinasikan kompresi dan ventilasi selama 2 menit atau sebanyak 5 siklus
60. Hentikan RJP jika ditemuakn adanya tanda- tanda kehidupan, penolong yang lebih mahir dating, ditemukan adanya tanda- tanda kematian biologis, do not resuscitation (DNR)",,61. Jelaskan tujuan dan prosedur Tindakan kepada keluarga atau pengantar pasien,62. Kolaborasi tim medis untuk bantuan hidup lanjut
D.0006,I.02075,Perawatan jantung,,,,,
D.0006,I.02075,Perawatan jantung,"Mengidentifikasi, merawat dan membatasi komplikasi akibat ketidakseimbangan antara suplai dan konsumsi oksigen miokard","63. Identifikasi tanda/gejala primer penurunan curah jantung (meliputi dispnea, kelelahan, edema, ortopnea, paroxysmal nocturnal dyspnea, peningkatan CVP)
64. Identifikasi tanda/gejala sekunder penurunan curah jantung (meliputi peningkatan berat badan, hepatomegaly, distensi vena jugularis, palpitasi, ronkhi basah, oliguria, batuk, kulit pucat)
65. Monitor tekanan darah (termasuk tekanan darah ortostatik) jika perlu
66. Monitor intake dan output cairan
67. Monitor berat badan setiap hari pada waktu yang sama
68. Monitor saturasi oksigen
69. Monitor keluhan nyeri dada (mis. Intensitas, lokasi, radiasi, durasi, presivitasi yang mengurangi nyeri)
70. Monitor EKG 12 sadapan
71. Monitor aritmia (kelainan irama dan frekuensi)
72. Monitor nilai laboratorium jantung (mis. Elektrolit, enzim jantung, BNP, NTproBNP)
73. Monitor fungsi alat pacu jantung
74. Periksa tekanan darah dan frekuensi nadi sebelum dan sesudah aktivitas
75. Periksa tekanan darah dan frekuensi nadi sebelum pemberian obat (mis. Beta blocker, ACE inhibitor, calcium channel blocker, digoksin)","76. Posisikan pasien semi fowler atau fowler dengan kaki ke bawah atau posisi nyaman
77. Berikan diet jantung yang sesuai (mis. Batasi asupan kafein, natrium, kolesterol, dan makanan tinggi lemak)
78. Gunakan stocking elastis atau pneumatic intermiten, sesuai indikasi
79. Fasilitasi pasien dan keluarga untuk modifikasi gaya hidup sehat
80. Berikan terapi relaksasi untuk mengurangi stress, jika perlu
81. Berikan dukungan emosional dan spiritual
82. Berikan oksigen untuk memperthanakan saturasi oksigen >94%","83. Anjurkan beraktivitas fisik sesuai toleransi
84. Anjurkan beraktivitas fisik secara bertahap
85. Anjurkan berhenti merokok
86. Ajarkan pasien dan keluarga mengukur berat badan harian
87. Ajarkan pasien dan keluarga mengukur intake dan output cairan harian","88. Kolaborasi pemberian antiaritmia, jika perlu
89. Rujuk ke program rehabilitasi jantung
1. Perawatan sirkulasi"
D.0006,I.02080,Pertolongan Pertama,,,,,
D.0010,I.02080,Pertolongan Pertama,Memberikan penanganan dasar dan segera pada kondisi kegawat daruratan baik dengan alat maupun tanpa alat,"90. Identifikasi keamanan penolong, pasien, dan lingkungan
91. Identifikasi respon pasien dengan AVPU (alert, verbal, pain, unresponsive)
92. Monitor tanda-tanda vital
93. Monitor karakteristik luka (mis. Drainase, warna, ukuran, bau)","94. Meminta pertolongan, jika perlu
95. Lakukan RICE (rest, ice, compression, elevation) pada cedera otot ekstremitas
96. Lakukan penghentian perdarahan (mis. Penekanan, balut tekan, pengaturan posisi)
97. Bersihkan kulit dari racun atau bahan kimia yang menempel dengan sabun dan air yang mengalir
98. Lepaskan sengatan dari kulit
99. Lepaskan gigitan serangga dari kulit menggunakan pinset atau alat yang sesuai",100. Ajarkan Teknik perawatan luka,"101. Kolaborasi pemberian obat-obatan (mis. Antibiotic, profilaksis, vaksi, anti histamin, anti inflamasi, dan analgetic, jika perlu)"
D.0010,I.02075,Perawatan Jantung,,,,,
D.0011,I.02075,Perawatan Jantung,"Mengidentifikasi, merawat dan membatasi komplikasi akibat ketidakseimbangan antara suplai dan konsumsi oksigen miokard Tindakan Observasi 1. Identifikasi tanda/gejala penurunan curah jantung (meliputi dispnea, kelelahan, edema, ortopnea, paroxysmal nocturnal dyspnea, peningkatan CVP) 2. Identifikasi tanda/gejala sekunder penurunan curah jantung (meliputi peningkatan berat badan, hepatomegali, distensi vena jugulari, palpitasi, ronkhi basah, oliguria, batuk, kulit pucat) 3. Monitor intake dan output cairan 4. Monitor aritmia (kelainan irama dan frekuensi) 5. Monitor fungsi alat pacu jantung 6. Periksa tekanan darah dan frekuensi nadi sebelum dan sesudah aktivitas Terapeutik 1. Posisikan pasien semi- fowler atau fowler dengan kaki ke bawah atau posisi nyaman 2. Berikan diet jantung yang sesuai (mis. batasi asupan kafein, natrium, kolesterol, dan makanan tinggi lemak) 3. Gunakan stocking elastis atau pneumatik intermiten, sesuai indikasi Edukasi 1. Anjurkan beraktivitas fisik sesuai toleransi 2. Ajarkan pasien dan keluarga mengukur intake dan output cairan harian Kolaborasi 1. Kolaborasi pemberian antiaritmia, jika perlu",,,,
D.0012,I.02067,Perawatan Jantung,Mengidentifikasi dan menurunkan risiko atau komplikasi stimulus yang menyebabkan perdarahan atau risiko perdarahan Tindakan Observasi - Monitor tanda dan gejala perdarahan - Monitor hematokrit/hemoglobin sebelum dan setelah kehilangan darah,,"- Pertahankan bed rest selama perdarahan
- Batasi tindakan invasive, jika perlu
- Hindari pengukuran suhu rektal","- Jelaskan tanda dan gejala perdarahan
- Anjurkan meningkatkan asupan cairan untuk menghindari konstipasi
- Anjurkan menghindari aspirin atau antikoagulan
- Anjurkan meningkatkan asupan makanan dan vitamin K
- Anjurkan segera melapor jika terjadi perdarahan Kolaborasi
- Kolaborasi pemberian obat pengontrol perdarahan, jika perlu
- Kolaborasi pemberian produk darah, jika perlu",
D.0012,I.02028,Balut tekan,"Membalut luka dengan tekanan untuk mencegah atau menghentikan perdarahan Tindakan Observasi - Monitor perban untuk memantau drainase luka Monitor jumlah dan warna cairan drainase dari luka - Periksa kecepatan dan denyut nadi distal - Periksa akral , kondisi kulit dan pengisian kapiler distal Terapeutik - Pasang sarung tangan - Tinggikan bagian tubuh yang cedera diatass level jantung, jika tidak ada fraktur - Tutup luka dengan kasa tebal - Tekan kasa dengan kuat diatass luka selama - Fiksasi kasa dengan plaster setelah perdarahan berhenti - Terkar arteri (pressure point) yang mengarah ke area perdarahan Memberikan informasi mengenai keamanan dan pencegahan cidera pada anak Tindakan Observasi - Identifikasi kesiapan dan kemampuan menerima informasi Terapeutik - Sediakan materi dan media pendidikan kesehatan - Jadwalkan pendidikan kesehatan sesuai kesepakatan - Berikan kesempatan untuk bertanya Edukasi - Anjurkan memantau anak saat berada di tempat yang beresiko(mis. Luar rumah, balkon, kolam renang) - Anjurkan menutup sumber listrik yang dapat dijangkau - Anjurkan mengatur perabotan rumah tangga - Anjurkan memilih mainan yang sesuai dengan usia anak dan tidak berbahaya - Anjurkan menyimpan benda berbahaya (mis. Pisau, benda tajam lainnya) dan cairan berbahaya(mis. Pembersih lantai, detergen) ditempat yang jauh dari jangkauan ) Anjurkan memberikan pembatas pada area dapur,kamar mandi, kolam Jelaskan kepada orang tua dan anak tentang bahaya lalulintas Anjurkan pengunaan sabuk pengaman saat berkendara Jelaskan keamanan bersepeda pada anak(mis. Mengguanakan helm, menggunakan sepeda sesuai usia) Anjurkan penggunaan stroller(kursi dorong anak), kursi khusus anak dengan aman Anjurkan tidak meletakan anak pada tempat tidur yang tinggi Ajarkan anak tindakan yang dilakuykan saat meraasa dirinya dalam bahaya(mis. Meminta bantuan orang dewasa, berteriak, segera berlari) Edukasi keamanan bayi",,,"- Jelaskan tujuan dan prosedur balut tekan
- Anjurkan membatasi gerak pada area cidera Edukasi keamanan anak (I. 12378)",
D.0012,I.12379,Balut tekan,"Menyediakan informasi dan dukungan terhadap pencegahan cedera pada bayi Tindakan Observasi - Identifikasi kesiapan dan kemampuian menerima informasi Terapeutik - Sediakan materi dan media pendidikan kesehatan - Jadwalkan pendidikan kesehatan sesuai kesepakatan - Berikan kesempatan untuk bertanya Edukasi - Anjurkan selalu mengawasi bayi - Anjurkan tidak meninggalkan bayinya sendirian - Anjurkan menjauhkan benda yang beresiko membahayakan bayi(mis. Kantung p;llastik, karet , tali, kain, benda-benda keci, benda tajam, pembersih lantai) - Anjurkan memasang penghalang pada sisi tempat tidur - Anjurkan menutup sumber listrik yang terjangkau oleh bayi - Anjurkan mengatur perabotan rumah tanngga dirumah Anjurkan memberikan pembatas pada area beresiko(mis. Daour, kamar mandi, kolam) Anjurkan mengguanakan kursi dan sabuk pengaman khusus bayi saat berkendara Anjurkan penggunaan sabuk pengaman pada stroller (kursi dorong bayi), kursi khusus bayi dengan aman Anjurkan tidak meletakan bayi pada tempat tidur yang tinggi Manajemen pendarahan",,,,
D.0013,I.01004,Balut tekan,Mengidentifikasi dan mengelola kehilangan darah saat terjadi perdarahan,"1. Identifikasi penyebab pendarahan
2. Periksa adanya darah pada muntah, sputum, feses, urine, pengeluaran NGT dan drainase luka, jika perlu
3. Periksa ukuran dan karakteristik, jika ada
4. Monitor terjadinya perdarahan (sifat dan jumlah)
5. Monitor nilai hemoglobin dan hematokrit sebelum dan setelah kehilangan darah
6. Monitor tekanan darah dan parameter hemodinamik (tekanan vena sentral dan tekanan baji kapiler atau arteri pulmonal), jika ada
7. Monitor intake dan output cairan
8. Monitor koagulasi darah (protrombin time(PT), partial thromboplastin time (PTT),fibrinogen,degradasi fibrin,dan jumlah trombosit), jika ada
9. Monitor deliveri oksigen jaringan (mis. PaO2, SaO2, hemoglobin, dan curah jantung)
10. Monitor tanda dan gejala perdarahan masif","1. Istirahatkan area yang mengalami perdarahan
2. Berikan kompres dingin, jika perlu
3. Lakukan penekanan atau balut tekan, jika perlu
4. Tinggikan ekstremitas yang mengalami perdarahan
5. Pertahankan akses IV","1. Jelaskan tanda-tanda perdarahan
2. Anjurkan melapor jika menemukan tanda-tanda perdarahan
3. Anjurkan membatasi aktivitas","1. Kolaborasi pemberian cairan, jika perlu
2. Kolaborasi pemberian transfusi darah, jika perlu"
D.0013,I.03094,Konseling nutrisi,Memberikan bimbingan dalam melakukan modifikasi asupan nutrisi,"1. Identifikasi kebiasaan makan dan perilaku makan yang akan diubah
2. Identifikasi kemajuan modifikasi diet secara regular
3. Monitor intake dan output cairan, nilai hemoglobin, tekanan darah, kenaikan berat badan, dan kebiasaan membeli makanan","1. Bina hubungan terapeutik
2. Sepakati lama waktu pemberian konseling
3. Tetapkan tujuan jangka pendek dan jangka Panjang yang realistis
4. Gunakan standar nutrisi sesuai program diet dalam mengevaluasi kecukupan asupan makanan
5. Pertimbangkan faktor-faktor yang mempengaruhi pemenuhan kebutuhan gizi (mis. Usia, tahap pertumbuhan dan perkembangan, penyakit)","1. Informasikan perlunya modifikasi diet (misal: penurunan atau penambahan berat badan, pembatasan natrium atau cairan, pengurangan kolesterol
2. Jelaskan program gizi dan persepsi pasien terhadap diet yang diprogramkan","1. Rujuk pada ahli gizi, jika perlu"
D.0013,I.02075,Perawatan Jantung Definisi :,,,,,
D.0014,I.02075,Perawatan Jantung Definisi :,,"1. Monitor tekanan darah (termasuk tekanan darah ortostatik, jika perlu)
2. Monitor intake dan output cairan saturasi oksigen
3. Periksa tekanan darah dan frekuensi nadi sebelum dan sesudah aktivitas","1. Posisikan pasien semi-fowler atau fowler dengan kaki kebawah atau posisi nyaman
2. Berikan diet jantung yang sesuai
3. Berikan oksigen untuk mempertahankan saturasi oksigen >94%",Anjurkan beraktivitas fisik sesuai toleransi Pencegahan Syok (1.02068),
D.0015,I.02068,Pencegahan Syok Definisi,,,,,
D.0016,I.02068,Pencegahan Syok Definisi,,,"1. Memberikan oksigen untuk mempertahankan saturasi oksigen >94 %
2. Mempersiapkan intubasi dan ventilasi mekanis, jika perlu.
3. Memasang jalur iv jika perlu
4. Memasang kateter urine untuk menilai produksi urine,jika perlu
5. Melakukan skin test untuk mencegah reaksi alergi","2. Menjelaskan penyebab / faktor risiko syok
3. Menjelaskan tanda dan gejala awal syok
4. Anjurkan untuk melapor jika menemukan/merasakan tanda dan gejala awal syok
5. Anjurkan untuk memperbanyak asupan cairan oral
6. Menganjurkan untuk menghindari alergen Kolaborasi
1. Kolaborasikan prmberian IV, jika perlu
2. Kolaborasikan pemberian transfusi darah, jika perlu
3. Kolaborasikan pemberian antiinflamasi, jika perlu Manajemen Peningkatan",
