Kode SDKI,Nama SDKI,Kategori,Subkategori,Definisi,Penyebab,Gejala Mayor - Subjektif,Gejala Mayor - Objektif,Gejala Minor - Subjektif,Gejala Minor - Objektif,Kondisi Klinis Terkait
D.0011,Resiko Penurunan Curah Jantung,Fisiologis,Sirkulasi,Beresiko mengalami pemompaan jantung yang tiak adekuat untuk memenuhi kebutuhan metabolisme tubuh. Faktor Resiko 1. Perubahan afterload 2. Perubahan frekuensi jantung 3. Perubahan irama jantung 4. Perubahan kontraktilitas 5. Perubahan preload,,,,,,"1. Gagal jantung kongestif
2. Sindrom koroner akut
3. Gangguan katub jantung (stenosis/regurgitasi aorta, pulmonalis, trikuspidalis, atau mitralis)
4. Atrial/venticular septal defect
5. Aritmia
6. Penyakit Paru Obstruktif Kronis (PPOK)
7. Gangguan metabolik
8. Gangguan muskuloskeletal"
D.0012,Resiko Perdarahan,Fisiologis,Sirkulasi,"Beresiko mengalami kehilangan darah baik internal (terjadi dalam tubuh) maaupun eksternal (terjadi diluar tubuh). Faktor Resiko: - Aneurisma - Gangguan gastrointestinal (mis. Ulkus lambung, polip, varises) - Gangguan fungsi hati (mis. Sirosis hepatitis) - Komplikasi kehamilan (mis. Ketuban pecah sebelum waktunya, plasenta previa/abrubsio, kehamilan kembar) - Komplikasi pasca partum (mis. Atoni uterus, retensi plasenta) - Gangguan koagulasi (mis. Trombositopenia) - Efek agen farmakologis - Tindakan pembedahan - Trauma - Kurang terpapar informasi tentang pencegahan perdarahan - Proses keganasan",,,,,,"- Aneurisma
- Koagulopati intravaskuler diseminata
- Sirosis hepatis
- Ulkus lambung
- Varises
- Trombositopenia
- Ketuban pecah sebelum waktunya
- Plasenta previa/abrubsio
- Atonia uterus
- Retensi plasenta
- Tindakan pembedahan Kanker Trauma Resiko Perfusi Gastrointestinal"
D.0013,Resiko Perfusi Gastrointestinal Tidak Efektif,Fisologi,Sirkulasi,"Beresiko mengalami penurunan sirkulasi gastrointestinal Faktor Risiko 1. Perdarahan gastrointestinal akut 2. Trauma abdomen 3. Sindroma kompartemen abdomen 4. Aneurisma aorta abdomen 5. Varises gastroesofagus 6. Penurunan kinerja ventrikel kiri 7. Kagulatipati (mis. anemia sel sabit, koagulopati intravaskuler diseminata 8. Penurunan konsentrasi hemoglobin 9. Keabnormalan masa protrombin dan/atau masa tromboplastin parsial 10. Disfungsi hati (mis. sirosis, hepatitis) 11. Disfungsi ginjal (mis. ginjal polikstik, stenosis arteri ginjal, gagal ginjal) 12. Disfungsi grastrointestinal (mis . ulkus duodenum atau ulkus lambung,kolitis iskemik, pankreatitis iskemik 13. Hiperglikemia 14. Ketidakstabilan hemodinamik 15. Efek agen farmakologis 16. Usia > 60 tahun 17. Efek samping tindakan (cardiopulmonary bypass, anestesi, pembedahan lambung)",,,,,,"1. Varises gastroesofagus
2. Aneurisma aorta abdomen
3. Diabetes melitus
4. Sirosis hepatis
5. Pendarahan graointestinal akut
6. Gagal jantung kongestif
7. koagulasi intravaskuler diseminata
8. Ulkus duodenum atau ulkus lambung
9. Kolitis iskemik
10. Pankreatitis iskemik
11. Ginjal polikistik
12. Stenosis arteri ginjal
13. Gagal ginjal
14. Sindroma kompartemen abdomen
15. Trauma abdomen
16. Anemia
17. Pembedahan jantung Resiko Perfusi Miokard Tidak"
D.0014,Resiko Perfusi Miokard Tidak Efektif,Fisiologis Sub Kategori : Sirkulasi Definisi :,,,,,,,,
D.0015,Risiko Perfusi Perifer Tidak Efektif,Fisiologis,Sirkulasi,,,,,,,"1. Arterosklerosis
2. Raynauud’s disease
3. Trombosis arteri
4. Atritis reumatoid
5. Leriche’s syndrome
6. Aneurisma
7. Buerger’s disease
8. Varises
9. Diabetes melitus
10. Hipotensi
11. Kanker Risiko Perfusi Renal Tidak"
D.0016,Risiko Perfusi Renal Tidak Efektif,Fisiologis,Sirkulasi,Beresiko mengalami penurunan sirkulasi darah ke ginjal. Faktor Risiko 1. Kekurangan volume cairan 2. Embolisme vaskuler 3. Vaskulitis 4. Hipertenai 5. Disfungsi ginjal 6. Hiperglikemia 7. Keganasan 8. Pembedahan jantung 9. Bypass kardiopulmonal 10. Hipoksemia 11. Hipoksia 12. Asidosis metabolik 13. Trauma 14. Sindrom kompartemen abdomen 15. Luka bakar 16. Sepsis 17. Sindrom respon inflamasi sistemik 18. Lanjut usia 19. Merokok 20. Penyalahgunaan zat,,,,,,"1. Diabetes melitus
2. Hipertensi
3. Aterosklorosis
4. Syok
5. Keganasan
6. Luka bakar
7. Pembedahan jantung
8. Penyakit ginjal (mis. Ginjal polikistik, stenosis artesi ginjal, gagal ginjal, glumerulonefritis, nefritis intersisial, nekrosis kortokal bilateral, polinefritis)
9. Trauma Risiko Perfusi Serebral Tidak"
D.0017,Risiko Perfusi Serebral Tidak Efektif,Fisiologis,Sirkulasi,Beresiko mengalami penurunan sirkulasi darah ke otak. Faktor Risiko 1. Keabnormalan masa protrombin dan/atau masa tromboplastin parsial 2. Penurunan kinerja ventrikel kiri 3. Aterosklerosis aorta 4. Diseksi arteri 5. Fibrilasi atrium 6. Tumor otak 7. Stenosis karotis 8. Miksoma atrium 9. Aneurisma serebri 10. Koagulopati (mis. anemia sel sabit) 11. Dilatasi kardiomiopati 12. Koagulasi intravaskuler diseminata 13. Embolisme 14. Cedera kepala 15. Hiperkolesteronemia 16. Hipertensi 17. Endokarditis infektif 18. Katup prostetik mekanis 19. Stenosis mitral 20. Neoplasma otak 21. Infark miokard akut 22. Sindrom sick sinus 23. Penyalahgunaan zat 24. Terapi tombolotik 25. Efek samping tindakan (mis. tindakan operasi bypass),,,,,,"1. Stroke
2. Cedera kepala
3. Aterosklerotik aortik
4. Infark miokard akut
5. Diseksi arteri
6. Embolisme
7. Endokarditis infektif
8. Fibrilasi atrium
9. Hiperkolesterolemia
10. Hipertensi
11. Dilatasi kardiomiopati
12. Koagulasi intravaskular diseminata
13. Miksoma atrium
14. Neoplasma otak
15. Segmen ventrikel kiri akinetik
16. Sindrom sick sinus
17. Stenosis karotid
18. Stenosis mitral
19. Hidrosefalus
20. Infeksi otak (mis. meningtis, ensefalitis, abses serebri)"
D.0018,Berat Badan Lebih,Fisiologis,Nutrisi dan Cairan Definisi : Akumulasi lemak berlebih atau abnormal yang tidak sesuai dengan usia dan jenis kelamin Penyebab :,,,,1. IMT >25 kg/m2 (pada dewasa) atau berat dan Panjang badan lebih dari presentil 95 (pada anak >2tahun) atau IMT pada presentil ke 85-95 (pada anak 2-18 tahun),,1. Tebal lipatan kulit trisep >25mm,"1. Gangguan Genetik
2. Faktor keturunan
3. Hipotiroid
4. Diabetes melitus maternal"
D.0019,Defisit Nutrisi,Fisiologis,Nutrisi dan Cairan Definisi : Asupan nutrisi tidak cukup untuk memenuhi kebutuhan metabolisme.,,"1. kurangnya asupan makanan
2. Ketidakmampuan menelan makanan
3. Ketidakmampuan mencerna makanan
4. Ketidakmampuan mengabsorbsi nutrient
5. Peningkatan kebutuhan metabolisme
6. faktor ekonomi (mis, financial tidak mencukupi)
7. Factor psikologis (mis. Stress, keengganan untuk makan)",,,,,
D.0020,Diare,Fisiologis,Nutrisi,"Pengeluaran feses yang sering, lunak dan tidak berbentuk Penyebab 21. Inflamasi gastrointestinal 22. Iritasi gastrointestinal 23. Proses infeksi 24. Malabsorpsi 25. Kecemasan 26. Tingkat stress tinggi 27. Terpapar kontaminan 28. Terpapar toksin 29. Penyalahgunaan laksatif 30. Penyalahgunaan zat 31. Program pengobatan (mis. Agen tiroid, analgesic, pelunak feses, frosulfat, antasida, cimetidine dan antibiotik) 32. Perubahan air dan makanan 33. Bakteri pada air",,,"1. Defekasi lebih dari tiga kali dalam 24 jam
2. Feses lembek atau cair",,"6. Frekuensi peristaltik meningkat
7. Bising usus hiperaktif","1. Kanker kolon
2. Diverticulitis
3. Iritasi usus
4. Crohn’s disease
5. Ulkus peptikum
6. Gastritis
7. Spasme kolon
8. Kolitis ulseratif
9. Hipertiroidisme
10. Demam typoid
11. Malaria
12. Sigelosis
13. Kolera
14. Disentri
15. Hepatitis"
D.0021,Disfungsi Motilitas Gastrointestinal,Fisiologis Subkategori : Nutrisi dan Definisi:,,,,,,,,"1. Pembedahan abdomen atau usus
2. Malnutrisi
3. Kecemasan
4. Kanker empedu
5. Kolesistektomi
6. Infeksi pencernaan
7. Gastroesophageal reflux disease (GERD)
8. Dialisis Paritoneal
9. Terapi Radiasi
10. Multiple organ disfunction syndrome"
D.0022,Hipervolemia,Fisiologis,Nutrisi dan,,,,,,,"1. Penyakit ginjal : gagal ginjak akut/kronis, sindrom nefrotik
2. Hipoalbuminemia
3. Gagal jantung kongestive
4. Kelainan hormone
5. Penyakit hati (mis serosis, asites, kanker hati)
6. Pnyakit vena perifer (varises vena, thrombus vena, flebitis
7. Imobilitas"
D.0023,Hipovolomia,,Nutrisi dan cairan,"Penurunan volume cairan intravascular, interstisial, dan atau intraselular.","1. Kehilangan cairan aktif
2. Kegagalan mekanisme regulasi
3. Peningkatan permeabilitas kapiler
4. Kekurangan intake cairan
5. Evaporasi",,,"1. merasa lemah
2. mengeluh haus","1. pengisian vena menurun
2. status mental berubah
3. suhu tubuh meningkat
4. konsentrasi urin meningkat
5. berat badan turun tiba-tiba Kondisi Klinis Terkait
1. penyakit Addison
2. trauma/pendarahan
3. luka bakar
4. AIDS
5. Penyakit Crohn
6. Muntah
7. Diare
8. Kolitis ulseratif
9. Hipoalbuminemia",
D.0024,Ikterik Neonatus,Fisiologis,Nutrisi dan,,,,,,,"1. Neonatus
2. Bayi prematur Kesiapan Peningkatan"
D.0025,Kesiapan Peningkatan Keseimbangan Cairan,Fisiologi,Nutrisi dan Cairan,Pola ekuilibrium antara volume cairan dan komposisi kimia cairan tubuh yang cukup untuk memenuhi kebutuhan fisik dan dapat ditingkatkan.,,1. Mengekspresiakan keinginan untuk meningkatkan keseimbangan cairan,"1. Membran mukosa lembab
2. Asupan makanan dan cairan adekuat untuk kebutuhan harian
3. Turgor jaringan baik
4. Tidak ada tanda edema atau dehidrasi",(tidak tersedia),"1. Urin berwarna kuning bening dengan berat jenis dalam rentang norma
2. Haluaran urin sesuai dengan asupan
3. Berat badan stabil","1. Gagal jantung
2. Sindrom iritasi usus
3. Penyakit addison
4. Makanan enternal atau parenteral"
D.0026,Kesiapan Peningkatan Nutrisi,Fisiologis Subkategori : Nutrisi dan Cairan,,Pola asupan nutrisi yang cukup untuk memenuhi kebutuhan metabolisme dan dapat ditingkatkan.,,1. Mengekspresikan keinginan untuk meningkatkan nutrisi,34. Makan teratur dan adekuat,"1. Mengekspresikan pengetahuan tentang pilihan makanan dan cairan yang sehat
2. Mengikuti standar asupan nutrisi asupan yang tepat (mis. Piramida makanan, pedoman American Diabetic Association atau pedoman lainnya)","1. Penyiapan dan penyimpanan makanan dan minuman yang aman
2. Sikap terhadap makanan dan minuman sesuai dengan tujuan kesehatan",1. Perilaku upaya peningkatan kesehatan Ketidakstabilan Kadar Glukosa
D.0027,Ketidakstabilan Kadar Glukosa Darah,Fisiologi,Nutrisi dan,Variasi kadar glukosa naik/turun dari rentang normal.,"Hiperglikemia
1. Disfungsi pangkreas
2. Resistensi insulin
3. Gangguan toleransi glukosa darah
4. Gangguan glukosa darah puasa Hipoglikemia
1. Penggunaan insulin atau obat glikemik oral
2. Hiperinsulinemia (mis. Insulinoma)
3. Endokrinopati (mis. Kerusakan adrenal atau pituitari)
4. Disfungsi hati
5. Disfungsi ginjal kronis
6. Efek agen farmakologis
7. Tindakan pembedahan neoplasma
8. Gangguan metabolik bawaan (mis. Gangguan penyimpanan lisosomal, galaktosemia, gangguan penyimpanan glikogen) Gejala dan tanda mayor:
Hipoglikemia
1. Mengantuk
2. Pusing Hiperglikemia :
1. Lelah atau lesu Objektif : Hipoglikemia :
1. Gangguan koordinasi
2. Kadar glukosa dalam darah atau urine rendah Hiperglikemia :
1. Kadar gluosa dalam darah atau urin tinggi Gejala dan tanda minor Subjektif: Hipoglikemia
1. Palpitasi
2. Mengeluh lapar Hiperglikemia
1. Mulut kering
2. Haus meningkat Objektif: Hipoglikemia
1. Gemetar
2. Kesadaran menurun
3. Perilaku aneh
4. Sulit bicara
5. Berkeringat Hiperglikemia
1. Jumlah urine meningkat Kondisi klinis terkait :
1. Diabetes melitus
2. Ketoasidosis diabetik
3. Hipoglikemia
4. Hiperglikemia
5. Diabetes gestasional
6. Penggunaan kortikostiroid Nutrisi parenteral total (TPN)",,,,,
D.0028,Nutrisi parenteral total (TPN) Menyusui Efektif,Fisiologis,Nutrisi dan,Pemberian ASI secara langsung dari payudaya kepada bayi dan anak yang dapat memenuhi kebutuhan nutrisi,"1. Hormon oksitosin dan prolaktin adekuat
2. Payudara membesar, alveoli mulai terisi ASI
3. Tidak ada kelainan pada struktur payudara
4. Puting menonjol
5. Bayi Aterm
6. Tidak ada kelainan bentuk pada mulut bayi
1. Rawat gabung
2. Dukungan keluarga dan tenaga kesehatan adekuat
3. Faktor budaya",1. Ibu merasa percaya diri selama proses menyusui,"1. Bayi melekat pada payudara ibu dengan benar
2. Ibu mampu memposisikan bayi dengan benar
3. Miksi bayi lebih dari 8 kali dalam 24 jam
4. Berat badan bayi meningkat
5. ASI menetes/menancar
6. Suplai ASI adekuat
7. Puting tidak lecet setelah minggu kedua","(tidak tersedia) Objektif
1. Bayi tidur setelah menyusui
2. Payudaya ibu kosong setelah menyusui
3. Bayi tidak rewel dan menangis setelah menyusui",,"1. Status kesehatan ibu baik
2. Status kesehatan bayi baik Menyusui Tidak Efektif"
D.0028,Menyusui Tidak Efektif,Fisiologis,Nutrisi dan Cairan,"Kondisi dimana ibu dan bayi mengalami ketidakpuasan atau kesukaran pada proses menyusui Penyebab : Fisiologis 1. Ketidakadekuatan suplai ASI 2. Hmabatan pada neonates (mis. Prematuris, sumbing) 3. Anomaly payudara ibu (mis. Putting yang masuk ke dalam) 4. Ketidakadekuatan refleks oksitosin 5. Ketidakadekuatan refleks menghisap bayi 6. Payudara bengkak 7. Riwayat operasi payudara 8. Kelahiran kembar 1. Tidak rawat gabung 2. Kurang terpapar informasi tentang pentingnya menyusui dan/atau metode menyusui 3. Kurangnya dukungan keluarga 4. Factor budaya",,"1. Kelemahan maternal
2. Kecemasan maternal","1. Bayi tidak mampu melekat pada payudara ibu
2. ASI tidak menetas/ memancar
3. BAK bayi kurang dari 8 kali dalam 24 jam
4. Nyeri dan/atau lecet terus menerus sehingga minggu kedua",,,"1. Abses payudara
2. Mastitis
3. Carpal tunnel syndrom"
D.0030,Obesitas,Fisiologis,Nutrisi,"Akumulasi lemak berlebih atau apnormal yang tidak sesuai dengan usia dan jenis kelamin, serta melampaui kondisi berat badan lebih (overweight).","1. Kurang aktivitas fisik harian
2. Kelebihan konsumsi gula
3. Gangguan kebiasaan makan
4. Gangguan persepsi makan
5. Kelebihan konsumsi alkohol
6. Penggunaan energi kurang dari asupan
7. Sering mengemil
8. Sering memakan makanan berminyak/berlemak 9. Faktor keturunan (mis.distribusi jaringan adiposa, pengeluaran energi, aktivitas lipase lipoprotein, sintesis lipit, lipolisis)
10. Penggunaan makanan formula atau makanan campuran pada bayi.
11. Asupan kalsium rendah pada anakanak
12. Berat badan bertambah cepat (selama masa anakanak, selama masa bayi, termasuk minggu pertama, 4 bulan pertama, dan tahun pertama)
13. Makan padat sebagai sumber makanan utama pada usia <5 bulan",,1. IMT >27 kg/m2 ( pada dewasa ) atau lebih dari presentil ke 95 untuk usia dan jenis kelamin ( pada anak),"(tidak tersedia) Objektif
1. Tebal lipatan kulit triset > 25 mm",,"1. Gangguan genetik
2. Faktor keturunan
3. hipotiroid
4. diabetes melitus maternal"
D.0031,Risiko Berat Badan Lebih,Fisiologis Subkategori : Nutrisi dan cairan,,"Berisiko mengalamin akumulasi lemak berlebih atau abnormal yang tidak sesuai dengan usia dan jenis kelamin. Faktor Resiko 1. Kurang aktivitas fisikharian 2. Kelebihan konsumsi gula 3. Gangguan kebiasaan makan 4. Gangguan presepsi makan 5. Kelebihan konsumsi alkohol 6. Penggunaan energi kurang dari asupan 7. Sering mengemil 8. Sering memakan makanan berminyak/berlemak 9. Faktor keturunan (mis. Distribusi jaringan adiposa,pengeluaran energi,aktivitas lipase lipoprotein,sintesis lipid,lipolisis) 10. Penggunaan makanan formula atau makanan campuran pada bayi 11. Asupan kalsium rendah pada anak-anak. 12. Berat badan bertambah cepat ( selama masa anakanak, selama masa bayi, termasuk minggu pertama, 4 bulan pertama, dan tahun pertama) 13. Makanan padat sebagai sumber makanan utama pada usia <5 bulan. 14. Penggunaan otot bantu pernapasan 15. Fase ekspirasi memanjang",,,,,,"1. Gangguan genetik
2. Hipotiroid
3. Diabetes melitus gestasional
4. Pola hidup kurang aktivitas"
